Data Series,CPI
2022 Dec ,111.186
2022 Nov ,110.959
2022 Oct ,109.893
2022 Sep ,110.339
2022 Aug ,109.863
2022 Jul ,108.836
2022 Jun ,108.671
2022 May ,107.598
2022 Apr ,106.547
2022 Mar ,106.691
2022 Feb ,105.379
2022 Jan ,104.472
2021 Dec ,104.439
2021 Nov ,103.959
2021 Oct ,102.95
2021 Sep ,102.657
2021 Aug ,102.231
2021 Jul ,101.672
2021 Jun ,101.87
2021 May ,101.883
2021 Apr ,101.07
2021 Mar ,101.239
2021 Feb ,101.015
2021 Jan ,100.44
2020 Dec ,100.469
2020 Nov ,100.105
2020 Oct ,99.711
2020 Sep ,100.139
2020 Aug ,99.807
2020 Jul ,99.178
2020 Jun ,99.5
2020 May ,99.48
2020 Apr ,99.012
2020 Mar ,99.933
2020 Feb ,100.279
2020 Jan ,100.204
2019 Dec ,100.445
2019 Nov ,100.254
2019 Oct ,99.93
2019 Sep ,100.147
2019 Aug ,100.209
2019 Jul ,99.587
2019 Jun ,100.038
2019 May ,100.325
2019 Apr ,99.753
2019 Mar ,99.972
2019 Feb ,99.953
2019 Jan ,99.387
2018 Dec ,99.686
2018 Nov ,99.61
2018 Oct ,99.447
2018 Sep ,99.753
2018 Aug ,99.778
2018 Jul ,99.359
2018 Jun ,99.505
2018 May ,99.449
2018 Apr ,98.833
2018 Mar ,99.299
2018 Feb ,99.501
2018 Jan ,99.035
