street,project,district,lat,lng,num_schools_1km,num_supermarkets_500m,num_mrt_stations_500m
LIM AH WOO ROAD,SUITES @ GUILLEMARD,15,1.31251969868081,103.891760188852,7,2,3
HOLLAND ROAD,LOFT@HOLLAND,10,1.31236368151801,103.797168759641,0,3,4
SOUTH BUONA VISTA ROAD,VIVA VISTA,5,1.27980322314972,103.78590960328,0,0,2
UPPER SERANGOON ROAD,PARK RESIDENCES KOVAN,19,1.3579337277843,103.881932039258,7,2,1
NATHAN ROAD,LOFT @ NATHAN,10,1.29446098581955,103.8276209036,2,4,4
RACE COURSE ROAD,CITY LOFT,8,1.31506105973759,103.856679863644,3,6,3
CHANGI ROAD,THE LENOX,14,1.31824376273926,103.911351165333,1,0,2
KIM YAM ROAD,ATTITUDE AT KIM YAM,9,1.29551395924241,103.838907866844,5,1,7
SHREWSBURY ROAD,SUITES @ SHREWSBURY,11,1.31819899592367,103.848906082215,6,2,2
ST. MICHAEL'S ROAD,AIRSTREAM,12,1.32732661439014,103.864035551424,5,3,2
LORONG MARICAN,THE EBONY,14,1.32038515836726,103.908487204597,2,2,2
BALESTIER ROAD,PRESTIGE HEIGHTS,12,1.32532977793951,103.852411690265,2,1,1
TYRWHITT ROAD,TYRWHITT 139,8,1.31157714328388,103.859941125851,3,11,5
JALAN JURONG KECHIL,SUITES AT BUKIT TIMAH,21,1.34054847886549,103.773649129593,3,3,1
SIMS AVENUE,SUITES @ SIMS,14,1.31514448371947,103.884050282732,5,3,3
SOMME ROAD,PARC SOMME,8,1.3113568841101,103.858599024436,4,11,5
JOO CHIAT PLACE,STRAITS RESIDENCES,15,1.31355578639069,103.904517013271,3,1,1
JALAN YASIN,SUITES @ EUNOS,14,1.3205334041426,103.905772422058,2,2,2
LORONG 25 GEYLANG,CENTRA STUDIOS,14,1.31444000148435,103.882324003158,3,4,3
CAVAN ROAD,CAVAN SUITES,8,1.31099855930995,103.861155186704,2,8,5
EAST COAST ROAD,HERITAGE EAST,15,1.30721890328725,103.907151915476,6,4,2
ST. THOMAS WALK,ESPADA,9,1.29734197095829,103.8367416335,5,2,4
HAIG ROAD,HAIG 162,15,1.30633784011654,103.898772934564,8,0,2
KIM KEAT ROAD,THE INTERWEAVE,12,1.32538080526177,103.853111878947,2,1,0
UPPER EAST COAST ROAD,SUITES @ EASTCOAST,15,1.31437895447395,103.932248310701,2,0,1
STEVENS ROAD,LOFT @ STEVENS,10,1.31783947169965,103.826223650676,6,1,2
TELOK KURAU ROAD,VIBES @ EAST COAST,15,1.30948276318529,103.911720115974,7,1,1
RIVER VALLEY ROAD,RV POINT,9,1.29380093107283,103.842145033288,3,1,7
TANJONG KATONG ROAD,SUITES@ KATONG,15,1.30780276693953,103.895551267647,9,0,2
LORONG 22 GEYLANG,GRANDVIEW SUITES,14,1.31277604580511,103.882455638462,3,5,3
OPAL CRESCENT,OPAL SUITES,12,1.32751915623427,103.867298187961,4,2,2
MARSHALL ROAD,ISUITES @ MARSHALL,15,1.30706456216463,103.900744955945,6,4,2
FLORA ROAD,AVILA GARDENS,17,1.36015764334241,103.965165224191,4,1,0
JALAN RAJAH,SKYSUITES17,12,1.32789367308777,103.851460023458,1,1,1
SHANGHAI ROAD,RV EDGE,10,1.29488382877099,103.828087328414,2,4,5
UPPER PAYA LEBAR ROAD,SUITES @ PAYA LEBAR,19,1.35039408203348,103.87997938353,7,1,3
UPPER SERANGOON ROAD,SUITES @ KOVAN,19,1.3620994674031,103.886835430404,4,1,1
TELOK KURAU ROAD,PRESTIGE LOFT,15,1.31037982893513,103.911393688133,8,1,1
GEYLANG ROAD,LE REGAL,14,1.31250268727998,103.880368117228,3,3,2
OWEN ROAD,SUITES @ OWEN,8,1.31409213027808,103.852946523501,7,6,3
TAMPINES ROAD,KOVAN GRANDEUR,19,1.36074531809769,103.891985875555,3,1,1
SOPHIA ROAD,MOUNT SOPHIA SUITES,9,1.30203939289866,103.846841997611,6,3,9
PASIR PANJANG ROAD,PARC IMPERIAL,5,1.28119672755422,103.783478346718,0,0,1
LORONG 38 GEYLANG,THE WATER EDGE,14,1.31372105189031,103.888759579471,6,2,4
ENGGOR STREET,SKYSUITES@ANSON,2,1.27464397804711,103.844741587315,1,5,9
TOPAZ ROAD,SUITES @ TOPAZ,12,1.32862584566182,103.865133145358,4,3,1
RIVER VALLEY ROAD,OXLEY EDGE,9,1.29563102657533,103.841615089993,6,2,7
