Data Series,InterestRate
2022 Dec ,1.48
2022 Nov ,1.47
2022 Oct ,1.17
2022 Sep ,1.03
2022 Aug ,0.95
2022 Jul ,0.87
2022 Jun ,0.59
2022 May ,0.53
2022 Apr ,0.25
2022 Mar ,0.25
2022 Feb ,0.25
2022 Jan ,0.25
2021 Dec ,0.25
2021 Nov ,0.25
2021 Oct ,0.25
2021 Sep ,0.25
2021 Aug ,0.25
2021 Jul ,0.25
2021 Jun ,0.25
2021 May ,0.25
2021 Apr ,0.25
2021 Mar ,0.25
2021 Feb ,0.25
2021 Jan ,0.25
2020 Dec ,0.25
2020 Nov ,0.25
2020 Oct ,0.25
2020 Sep ,0.25
2020 Aug ,0.25
2020 Jul ,0.25
2020 Jun ,0.37
2020 May ,0.37
2020 Apr ,0.38
2020 Mar ,0.38
2020 Feb ,0.5
2020 Jan ,0.5
2019 Dec ,0.5
2019 Nov ,0.5
2019 Oct ,0.5
2019 Sep ,0.5
2019 Aug ,0.5
2019 Jul ,0.5
2019 Jun ,0.5
2019 May ,0.5
2019 Apr ,0.5
2019 Mar ,0.5
2019 Feb ,0.5
2019 Jan ,0.5
2018 Dec ,0.5
2018 Nov ,0.5
2018 Oct ,0.5
2018 Sep ,0.5
2018 Aug ,0.5
2018 Jul ,0.5
2018 Jun ,0.5
2018 May ,0.5
2018 Apr ,0.5
2018 Mar ,0.5
2018 Feb ,0.5
2018 Jan ,0.5
