area,floorRange,propertyType,district,typeOfArea,tenure,street,project,marketSegment,property_key
226.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2007,COVE DRIVE,TURQUOISE,CCR,p-7b6c69000
194.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2007,COVE DRIVE,TURQUOISE,CCR,p-320ed2726
348.0,06-10,Condominium,4,Strata,99 yrs lease commencing from 2007,COVE DRIVE,TURQUOISE,CCR,p-2bc5c4951
223.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2007,COVE DRIVE,TURQUOISE,CCR,p-f060c5be0
195.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2007,COVE DRIVE,TURQUOISE,CCR,p-a8d1004a9
240.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2007,COVE DRIVE,TURQUOISE,CCR,p-dac814422
199.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2007,COVE DRIVE,TURQUOISE,CCR,p-99a4bffd4
200.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2007,COVE DRIVE,TURQUOISE,CCR,p-2c826f80b
196.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2007,COVE DRIVE,TURQUOISE,CCR,p-9b78725a6
224.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2007,COVE DRIVE,TURQUOISE,CCR,p-6dfd73280
203.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2007,COVE DRIVE,TURQUOISE,CCR,p-873cc39ee
201.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2007,COVE DRIVE,TURQUOISE,CCR,p-7afd9d4cb
347.0,06-10,Condominium,4,Strata,99 yrs lease commencing from 2007,COVE DRIVE,TURQUOISE,CCR,p-8341acd1a
249.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2007,COVE DRIVE,TURQUOISE,CCR,p-940dd9922
282.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2007,COVE DRIVE,TURQUOISE,CCR,p-c155cd519
225.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2007,COVE DRIVE,TURQUOISE,CCR,p-51209b23d
202.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2007,COVE DRIVE,TURQUOISE,CCR,p-72a9ac344
290.0,06-10,Condominium,4,Strata,99 yrs lease commencing from 2007,COVE DRIVE,TURQUOISE,CCR,p-bf8a6b6b7
305.0,06-10,Condominium,4,Strata,99 yrs lease commencing from 2007,COVE DRIVE,TURQUOISE,CCR,p-bd1f74cf3
239.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2007,COVE DRIVE,TURQUOISE,CCR,p-26e1174fa
93.0,01-05,Apartment,3,Strata,Freehold,YONG SIAK STREET,RESIDENTIAL APARTMENTS,RCR,p-c0814ae95
118.0,16-20,Apartment,2,Strata,99 yrs lease commencing from 1976,SPOTTISWOODE PARK ROAD,SPOTTISWOODE PARK ESTATE,RCR,p-fb7b01525
65.0,06-10,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-5689f9613
75.0,06-10,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-3bd67ad7e
85.0,21-25,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-e18f05f2f
63.0,26-30,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-ecaa68d87
63.0,06-10,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-db947e77f
42.0,11-15,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-63152376f
64.0,06-10,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-29124a926
66.0,21-25,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-a88782250
84.0,26-30,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-3a214242c
70.0,16-20,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-232d11b5a
66.0,11-15,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-0f65e2c5e
53.0,11-15,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-92e196695
75.0,26-30,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-e9e025b50
64.0,11-15,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-812199596
