property_key,contractDate,price
p-c1ce31019,2018-03-01,1850000.0
p-a7fd7deb5,2018-03-01,1030000.0
p-2a981615e,2018-03-01,4300000.0
p-2bb570b5d,2018-03-01,1400888.0
p-4ccd6e1db,2018-03-01,725000.0
p-15fe75973,2018-03-01,1058888.0
p-5665e6edd,2018-03-01,660500.0
p-691e29c13,2018-03-01,1055000.0
p-e642e01f9,2018-03-01,980000.0
p-e3cc0395d,2018-03-01,860000.0
p-46d5640a8,2018-03-01,1700000.0
p-8d64f1151,2018-03-01,1931200.0
p-712ec5748,2018-03-01,1250000.0
p-2f70e8c62,2018-03-01,1648000.0
p-9d5b7a42b,2018-03-01,1070000.0
p-bfa69bb42,2018-03-01,1600000.0
p-6db716b63,2018-03-01,790000.0
p-453ea76db,2018-03-01,5980000.0
p-36a931877,2018-03-01,780000.0
p-f57af869e,2018-03-01,1500000.0
p-39b2f5866,2018-03-01,2300000.0
p-c00ede3cc,2018-03-01,1530000.0
p-f6f250a37,2018-03-01,1200000.0
p-5d279d643,2018-03-01,1880000.0
p-24546737f,2018-03-01,1230000.0
p-5afe0e7bd,2018-03-01,993000.0
p-d06279906,2018-03-01,1250000.0
p-448062e3a,2018-03-01,2230000.0
p-9410e4dc5,2018-03-01,5100000.0
p-5f1ce5b71,2018-03-01,802000.0
p-2465822a6,2018-03-01,980000.0
p-7ebe9c68c,2018-03-01,2390000.0
p-da80075d6,2018-03-01,2290000.0
p-05c2efbaa,2018-03-01,1680000.0
p-4598b256c,2018-03-01,1645000.0
p-07f76d16b,2018-03-01,880000.0
p-5c11cdc2c,2018-03-01,3478000.0
p-6479e91b5,2018-03-01,2300000.0
p-3d6048f44,2018-03-01,1360000.0
p-fed557453,2018-03-01,800000.0
p-fc913efc3,2018-03-01,1050000.0
p-f65443561,2018-03-01,1008800.0
p-784032732,2018-03-01,1600000.0
p-0c911d3dd,2018-03-01,2950000.0
p-dd3d14b5c,2018-03-01,820000.0
p-23d8552e7,2018-03-01,2770000.0
p-fb2b28a8e,2018-03-01,1980000.0
p-b145459b0,2018-03-01,1838000.0
p-45be4f87a,2018-03-01,1508888.0
p-d263dedb8,2018-03-01,860000.0
p-66f08363b,2018-03-01,3200000.0
p-2ddcf70d4,2018-03-01,2190000.0
p-2e7e34808,2018-03-01,1450000.0
p-fdafb8383,2018-03-01,1650000.0
p-0a31fe6d1,2018-03-01,1070000.0
p-5e38f98c4,2018-03-01,1865000.0
p-01ae8a76f,2018-03-01,1300000.0
p-e2ee6354b,2018-03-01,1828000.0
p-ac8ff57d8,2018-03-01,1550000.0
p-dfb4e060e,2018-03-01,660000.0
p-e4d9281b1,2018-03-01,730000.0
p-704060532,2018-03-01,1480000.0
p-5b6324b5c,2018-03-01,1430000.0
p-63c7ca0f1,2018-03-01,1100000.0
p-544c57edd,2018-03-01,3560000.0
p-bed6b4468,2018-03-01,700000.0
p-5ff2ec605,2018-03-01,729000.0
p-cd1b9b19c,2018-03-01,1850000.0
p-903c34370,2018-03-01,1660000.0
p-415b71f8f,2018-03-01,1318000.0
p-e89b285d8,2018-03-01,1720000.0
p-eba19865c,2018-03-01,1588888.0
p-cceaa5018,2018-03-01,1275000.0
p-598f77ba8,2018-03-01,965000.0
p-512d64631,2018-03-01,1780000.0
p-1a85ffe2e,2018-03-01,640000.0
p-8077e4129,2018-03-01,645000.0
p-d19f593ed,2018-03-01,2123528.0
p-0a6dc4c46,2018-03-01,1425000.0
p-712ad3d59,2018-03-01,1130000.0
p-ec1908853,2018-03-01,780000.0
p-341688589,2018-03-01,1830000.0
p-86f48e239,2018-03-01,1780000.0
p-896d8c357,2018-03-01,1700000.0
p-efaeb4d7c,2018-03-01,1320000.0
p-b156a24a5,2018-03-01,1420000.0
p-4e2c73448,2018-03-01,532000.0
p-22226ce1f,2018-03-01,548000.0
p-ca765baca,2018-03-01,650000.0
p-9956e5f3a,2018-03-01,2792000.0
p-5b431fe7b,2018-03-01,998000.0
p-2820414fc,2018-03-01,1390000.0
p-02ab3d1d1,2018-03-01,2028000.0
p-7364b1eca,2018-03-01,1260000.0
p-dac4d87a8,2018-03-01,1400000.0
